female,memberships,age,protestant,post_weights,region
1,0,1.1,0,1.0538499,336
0,5,1.8,1,1.5560929,336
1,1,1.8,1,1.0087563,336
1,1,1.5,1,0.47813398,336
1,0,1.1,0,0.6728136,336
1,1,-0.9,0,1.1245033,336
0,3,0,,1.3908081,336
0,0,1.2,0,2.7023077,336
1,2,0.3,1,0.5268712,336
0,0,2.1,0,0.80928075,336
0,0,1.8,0,0.80928075,336
1,2,2.4,0,0.50432664,336
1,2,2,0,0.50432664,336
1,0,2.3,0,1.0087563,336
0,2,0.5,1,0.46357116,336
0,8,1.6,1,0.6264067,336
0,3,0,0,1.2321565,336
1,1,1.7,1,1.0087563,336
0,5,1.1,1,1.3908081,336
1,1,0.4,0,1.3456272,336
0,2,2.2,1,1.2138798,336
0,2,-0.7,1,1.4756393,336
1,0,-0.7,0,1.228563,336
1,1,0.6,0,0.94906855,310
0,4,-0.5,0,0.8720012,310
1,0,-0.8,0,1.1553771,310
0,1,1.8,0,0.88360715,310
1,2,1.6,0,1.2985518,310
1,1,0.4,0,0.49548534,310
1,2,-0.1,,0.7687539,310
1,1,0.5,0,0.6327339,310
0,4,1.6,0,0.5890915,310
1,0,-0.5,0,0.94906855,310
1,2,-0.2,0,0.7687539,310
0,2,0,0,1.2706652,310
1,2,-1.2,1,1.0575163,310
1,6,0.4,1,0.9910718,310
0,2,-0.7,0,1.2773956,310
0,2,0.2,0,1.1587566,310
1,1,-0.7,0,1.0333326,310
0,1,0.2,0,0.8720012,310
1,1,-0.5,0,0.6327339,310
0,5,-0.1,0,1.1587566,310
1,2,1.6,1,0.94866437,310
1,2,-0.4,0,0.7687539,310
0,3,0.2,0,0.5793192,310
0,1,0.9,0,1.1587566,310
1,3,-1.2,0,0.5287042,310
1,3,-1.4,0,1.0575163,310
1,4,1.1,0,0.6327339,310
0,0,-0.4,0,1.1587566,310
1,1,0,0,1.2654678,310
0,1,0.1,0,0.8720012,310
0,1,-0.9,0,0.69379675,310
0,4,-0.6,0,1.8496665,310
0,0,1.8,0,1.1415687,310
0,1,0.5,0,0.5793192,310
0,0,-0.4,0,1.2706652,310
0,1,-0.8,0,1.2773956,310
1,2,1.6,0,0.47428378,310
1,5,1.7,0,0.44965142,310
1,4,2.3,0,0.94866437,310
1,0,1.8,0,0.6492097,310
1,3,0.9,0,0.38433772,310
1,3,-1.4,0,1.0575163,310
1,2,-0.2,0,0.7687539,310
0,2,-1,0,1.2773956,310
0,0,-0.4,0,1.1587566,310
1,2,2.3,0,0.8993946,310
1,1,-0.2,0,0.7687539,310
1,1,-1.1,0,2.6437368,310
1,5,0.1,0,0.6327339,310
1,1,1.5,1,0.94866437,310
